NOMBRE,CODIGO,MUNICIPIO,CORRIENTE,ALTITUD_msnm,INICIO,FIN,N_MESES,ESTADO
APTO BENITO SALAS,21115020,NEIVA,LAS CEIBAS,439.0,1930,2017,638,Activa
GIGANTE,21065020,GIGANTE,LORO,810.0,1934,1941,79,SUS
YAGUARA,21085010,YAGUARÁ,YAGUARA,630.0,1934,1942,74,SUS
SUAZA,21035010,SUAZA,SUAZA,900.0,1937,1941,56,SUS
AGRADO,21040010,AGRADO,MAGDALENA,905.0,1959,2003,415,SUS
ARGENTINA LA,21050060,LA ARGENTINA,LA PLATA,1500.0,1959,2017,590,Activa
BARAYA,21110070,BARAYA,QDA LAS LAJAS,615.0,1959,2017,582,Activa
PITA LA,21060040,GARZÓN,QDA SAN MIGUEL,1330.0,1959,2017,594,Activa
POTOSI,21110090,VILLAVIEJA,MAGDALENA,400.0,1959,2017,584,Activa
VENADO EL,21140010,COLOMBIA,CABRERA,584.0,1959,2017,554,Activa
YAGUARA,21080030,YAGUARÁ,YAGUARA,600.0,1959,2017,560,Activa
BANQUITO EL,21145010,COLOMBIA,CABRERA,800.0,1964,1983,163,SUS
SAN JOSE,21115060,VILLAVIEJA,MAGDALENA,400.0,1965,2017,572,Activa
JUNCAL EL,21095010,PALERMO,MAGDALENA,460.0,1966,2017,585,Activa
BUENAVISTA,21090090,PALERMO,QDA SARDINATA,520.0,1969,2002,329,SUS
CARMEN EL,21130060,PALERMO,CHIQUILA,2250.0,1969,2017,576,Activa
CASA BOMBAS 1 JUNC,21090060,PALERMO,MAGDALENA,450.0,1969,2002,298,SUS
CUCHARO EL,21090020,PALERMO,QDA GALLINAZO,620.0,1969,2017,483,Activa
GUADALUPE,21030050,GUADALUPE,SUAZA,893.0,1969,2017,582,Activa
HATO BOGOTA,21110180,TELLO,FORTALECILLAS,591.0,1969,2017,483,Activa
LAGUNA LA,21010040,PITALITO,MAGDALENA,1334.0,1969,2017,580,Activa
LAURELES LOS,21115140,BARAYA,VILLAVIEJA,2100.0,1969,2013,402,Activa
LLANO AZUL,21100030,CAMPOALEGRE,QDA DE LA CIENAGA,600.0,1969,1974,43,SUS
MEDIANIA,21010060,ISNOS,GRANATES,1763.0,1969,2017,577,Activa
MESA REDONDA,21110160,TELLO,BATEAS,500.0,1969,2017,512,Activa
PAPAGAYO HDA,21090040,PALERMO,MAGDALENA,460.0,1969,2017,535,Activa
PEREZ HDA,21130050,AIPE,AIPE,450.0,1969,2017,577,Activa
POLONIA,21110330,VILLAVIEJA,VILLAVIEJA,429.0,1969,2017,518,Activa
PORTAL EL,21115070,TELLO,VILLAVIEJA,1300.0,1969,2011,489,Activa
SAN ADOLFO,21030060,ACEVEDO,SUAZA,1345.0,1969,2017,576,Activa
SAN AGUSTIN,21010070,SAN AGUSTÍN,NARANJO,1720.0,1969,1971,32,SUS
SAN JOSE DE ISNOS,21010050,ISNOS,QDA NEGRA,1720.0,1969,2017,511,Activa
SAN JUANITO,21140100,VILLAVIEJA,CABRERA,368.0,1969,2017,490,Activa
SANTA BARBARA,21090110,PALERMO,QDA SARDINATA,454.0,1969,2017,466,Activa
STA CECILIA,21090030,PALERMO,QDA GALLINAZO,450.0,1969,2002,325,SUS
STA HELENA,21115050,BARAYA,VILLAVIEJA,1735.0,1969,1973,43,SUS
VICTORIA LA,21110290,VILLAVIEJA,MAGDALENA,400.0,1969,2017,513,Activa
VILLAVIEJA FFCC,21115080,VILLAVIEJA,MAGDALENA,430.0,1969,2016,540,Activa
YEGUERA LA,21110120,VILLAVIEJA,MAGDALENA,400.0,1969,2017,495,Activa
ESC AGR LA PLATA,21055020,LA PLATA,LA PLATA,1070.0,1970,2017,555,Activa
ACEVEDO,21030080,ACEVEDO,SUAZA,1350.0,1971,2017,551,Activa
ALGECIRAS,21105030,ALGECIRAS,NEIVA,1155.0,1971,2015,488,Activa
ALTAMIRA,21025020,ALTAMIRA,SUAZA,1352.0,1971,2008,287,SUS
ANTENA TV,21040020,AGRADO,MAGDALENA,2210.0,1971,2017,544,Activa
GARZON,21060080,GARZÓN,QDA GARZON,990.0,1971,2017,544,Activa
GIGANTE 2,21060070,GIGANTE,QDA GUANDINOSA,850.0,1971,2017,553,Activa
HOBO EL,21060090,HOBO,QDA DEL HOBO,636.0,1971,2017,545,Activa
INSFOPAL,21010110,PITALITO,GUARAPAS,1265.0,1971,2017,556,Activa
IQUIRA,21085020,ÍQUIRA,IQUIRA,1095.0,1971,2010,428,SUS
JAGUA LA,21030090,GARZÓN,SUAZA,755.0,1971,2017,554,Activa
LEGIOSA LA,21145070,COLOMBIA,AMBICA,1476.0,1971,2016,513,Activa
NATAGA,21050090,NÁTAGA,NEGRO,1545.0,1971,2017,550,Activa
PALACIO-VEGALARGA,21115100,NEIVA,FORTALECILLAS,1100.0,1971,2016,517,Activa
PALESTINA,21010100,PALESTINA,GUARAPAS,1530.0,1971,2017,547,Activa
PARQUE ARQUEOLOGIC,21015030,SAN AGUSTÍN,NARANJO,1800.0,1971,2017,546,Activa
RESINA,21035020,GUADALUPE,SUAZA,2102.0,1971,2007,427,SUS
RIVERA-CUCOLANDIA,21110210,RIVERA,FRIO,600.0,1971,1983,84,SUS
SAN FRANCISCO,21120080,NEIVA,BACHE,825.0,1971,1989,206,SUS
SAN LUIS,21130040,NEIVA,CHIQUILA,1140.0,1971,2017,540,Activa
SAN PEDRO,21130070,AIPE,CHIQUILLA,850.0,1971,1995,267,SUS
SEVILLA,21015020,PITALITO,GUARAPAS,1320.0,1971,2016,541,Activa
STA MARIA,21125010,SANTA MARÍA,BACHE,1300.0,1971,2017,473,Activa
TESALIA 2,21050290,TESALIA,LA PLATA,825.0,1971,2017,530,Activa
TOTUMO EL,21120090,PALERMO,TUNE,700.0,1971,2017,536,Activa
VUELTA LA,21105020,CAMPOALEGRE,NEIVA,500.0,1971,1973,26,SUS
ZULUAGA,21065040,GARZÓN,LORO,1270.0,1971,2016,527,Activa
ARIZONA,21140030,BARAYA,CABRERA,638.0,1973,2016,464,Activa
HATO MILAGRO,21110040,TELLO,FORTALECILLAS,548.0,1973,2016,517,Activa
MIRAFLORES,21140080,COLOMBIA,CABRERA,1049.0,1973,2017,513,Activa
ORGANOS,21130080,NEIVA,CHIQUILLA,800.0,1973,2017,518,Activa
STA ANA,21140060,COLOMBIA,CABRERA,1100.0,1973,1989,197,SUS
BARAYA,21115110,BARAYA,VILLAVIEJA,635.0,1974,1983,87,SUS
CUEVA LOS GUACHARO,21035030,ACEVEDO,SUAZA,2225.0,1974,1987,150,SUS
ROSALES LOS,21105050,CAMPOALEGRE,NEIVA,553.0,1974,2017,470,SUS
BAJO FRUTAL,21010130,SAN AGUSTÍN,MAGDALENA,1660.0,1975,2017,499,Activa
CANDELA LA,21010140,SAN AGUSTÍN,NARANJO,1940.0,1975,2017,498,Activa
ESCALERETA LA,21040070,AGRADO,MAGDALENA,700.0,1975,2005,353,SUS
HATILLO EL,21050140,TESALIA,NEGRO,900.0,1975,2017,475,Activa
HERRERAS LAS,21080100,TERUEL,STA MARIA,1800.0,1975,2017,472,Activa
MINA LA,21080080,TERUEL,PEDERNAL,1800.0,1975,2017,496,Activa
